date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,50549.81748094104,5198.698042658731,55748.51552359977,29052.093774647376,29083.35252729437,58135.446301941745,9593.687509533513,6051.3291021584355,17827.981182891363,33,1,0.0,0,0.0,6000.0,7910.619756181898
2025-02-02,1,94964.36959745508,7361.421508678929,102325.79110613401,64085.657538552165,41395.48771098954,105481.1452495417,7366.88491750126,6310.147356118107,22912.775594750852,36,1,0.0,0,0.0,7910.619756181898,7529.5413418018115
2025-02-03,1,95041.43168722837,3463.284082296422,98504.71576952479,63814.48556244021,18925.241507324754,82739.72706976497,11643.217679046837,10283.831680877745,16928.4132713557,38,1,8.953214523809493,1,0.0,7529.5413418018115,6581.95760752425
2025-02-04,1,96173.91526498021,2679.845813343401,98853.76107832362,64184.56179257249,14506.56744896521,78691.1292415377,14653.323803688329,12074.614968044642,15080.188292679928,36,1,10.245972222222235,1,10.509557500000142,6581.95760752425,6353.710177460814
2025-02-05,1,95393.33817920918,2633.117393135071,98026.45557234425,63453.31114443369,14277.629839261195,77730.94098369489,15286.577161234592,12383.026381990076,14374.477809766406,37,1,0.36374456349197715,1,0.0,6353.710177460814,6352.71142036076
2025-02-06,1,93635.85467019337,2629.330890434528,96265.1855606279,62316.0700942952,14338.246793318125,76654.31688761333,15220.186005275715,12301.047785200393,13074.990123885902,37,1,0.0,0,0.0,6352.71142036076,6383.047952664022
2025-02-07,1,40857.90122308823,2452.126338317461,43310.02756140569,22675.34931098865,13231.19664339746,35906.545954386114,13948.019018047662,11857.04545001587,9413.374326707231,42,1,0.0,0,0.0,6383.047952664022,5761.7701244448435
2025-02-08,1,40033.05289721598,1998.5946727411817,42031.64756995716,22017.14867499084,10717.41769844427,32734.566373435107,14805.91375879459,11775.998866698414,7424.569961194323,40,1,0.0,0,1.6635400833333733,5761.7701244448435,6002.649322139508
2025-02-09,1,86185.66778007065,3826.0309865833315,90011.69876665398,55314.063087851035,19849.5314124963,75163.59450034733,17312.283712143377,13429.254213659553,6573.253301503488,52,1,48.71754265872937,4,0.0,6002.649322139508,6662.311092335714
2025-02-10,1,86136.72736809759,2577.8006168372995,88714.52798493489,55306.86803690572,13910.045838631697,69216.91387553742,15340.95426596149,12250.984258870672,11297.92039451074,43,1,0.9633060317459012,1,17.15978333333328,6662.311092335714,6856.965199622536
2025-02-11,1,89178.43169227567,2662.7227590749912,91841.15445135067,56297.260486028325,14206.302685134877,70503.5631711632,20285.076792533247,13180.428710038099,9515.909235522182,46,1,0.0,0,0.0,6856.965199622536,10468.613523971233
2025-02-12,1,84548.2232535974,3087.3401342738102,87635.56338787121,53935.54643964253,16157.62562600558,70093.1720656481,16389.067931240956,13133.950388338015,9113.709711634932,60,1,23.672464285714,5,0.0,10468.613523971233,10625.496452823629
2025-02-13,1,84187.47360548585,2311.0181426825416,86498.4917481684,53239.67813281538,11916.62625418158,65156.304386996955,15800.672729868764,12719.535140325394,12087.875141958362,59,1,114.11153687301646,8,0.0,10625.496452823629,10713.28508712174
2025-02-14,1,37252.82982113805,2424.7440255555543,39677.57384669361,19397.171957183054,10892.303467346452,30289.475424529504,16580.9120792769,13352.495362623853,6647.355313373895,80,1,181.90350153968194,14,0.0,10713.28508712174,10800.0
2025-02-15,1,36519.45186227151,2664.4408034325434,39183.89266570406,19017.604426125854,11910.209344998566,30927.81377112442,16489.44917825706,13416.763822289686,6831.116209736683,75,1,134.44640886111154,10,8.155583333333368,10800.0,10732.988902331703
2025-02-16,1,80250.72595406967,3918.480386240391,84169.20634031006,50225.490285151376,19573.99114411243,69799.4814292638,17699.10591582324,14555.572434858315,5648.293759345133,74,1,124.17612985763134,8,0.0,10732.988902331703,10489.325965618938
2025-02-17,1,80112.69855393899,2881.5471912920634,82994.24574523105,50007.74621408313,14842.939378694637,64850.685592777765,16285.468295037985,13265.270829562684,8790.185113089086,63,1,68.89937279761877,7,0.0,10489.325965618938,10407.057620527925
2025-02-18,1,79637.45889331131,3325.092824726924,82962.55171803823,49564.614027582305,16865.79704202823,66430.41106961053,17290.780271582924,13763.35541163491,7343.739074756884,74,1,277.297633071429,17,0.0,10407.057620527925,10676.142740913772
2025-02-19,1,78351.97273454447,4049.0347232861063,82401.00745783058,48782.65801587506,19839.53301222134,68622.1910280964,17619.404128132206,14616.95916256134,6519.23510892638,83,1,186.4345006349199,11,17.25290714285689,10676.142740913772,10292.5407200535
2025-02-20,1,77791.16489501305,3572.017047339498,81363.18194235254,48434.79983810914,17614.064806606395,66048.86464471553,17312.696676160962,13746.012625265723,6803.364158123971,71,1,256.8429874246028,11,5.673767142857059,10292.5407200535,10600.62036719201
2025-02-21,1,35173.55961457481,2717.6889844913126,37891.24859906612,18158.814042778264,11382.179513126159,29540.99355590442,16772.989894517483,13483.736066406098,9041.732737621407,77,1,296.175071420635,16,38.76095643253956,10600.62036719201,10714.382309584305
2025-02-22,1,34617.912228809946,3346.3772846347883,37964.28951344473,17861.68037327451,13912.779862279715,31774.460235554227,16787.848558724872,13611.68525735004,6943.363328736574,87,1,336.30971878571427,15,21.902107099206376,10714.382309584305,10699.351282047755
2025-02-23,1,74963.8300950523,4123.22661659362,79087.05671164591,46657.037502372594,19655.195588482202,66312.2330908548,17162.650124255637,14210.502157523742,4603.055061580684,84,1,290.2703022877708,13,0.0,10699.351282047755,10356.289552184782
2025-02-24,1,74624.27883442209,3344.8884227442354,77969.16725716632,46272.83505044235,16483.78229962429,62756.61735006664,16835.10191964067,13606.211329690483,6537.243050549476,90,1,291.5448047698413,22,2.8296321428572355,10356.289552184782,10389.868691316402
2025-02-25,1,74126.58666603506,3065.521238098323,77192.10790413339,45885.758859698566,14381.180408350176,60266.93926804874,16717.149421386242,13648.141109840475,8301.776359254278,75,1,302.8636930238082,15,19.05178485317458,10389.868691316402,10270.70193740794
2025-02-26,1,73300.24943736542,3703.3756170374477,77003.62505440287,45345.63327112154,17480.833204419727,62826.46647554127,17277.023415233878,13839.257507684379,4751.011113520024,89,1,278.5593085833342,17,32.585645079364895,10270.70193740794,10443.070224802454
2025-02-27,1,72482.7686052362,3763.0261931017235,76245.79479833793,44878.75515178122,18565.493696540834,63444.24884832205,18515.265862396453,14954.511263381608,5728.4559993230705,80,1,262.1902804999994,17,0.0,10443.070224802454,10490.685874979694
2025-02-28,1,32887.332950711134,3278.91097719538,36166.243927906515,16911.01004678702,13017.702098214702,29928.712145001722,17787.93166695738,14312.717786343486,9398.436497292625,88,1,455.4198516309518,18,21.418591904762025,10490.685874979694,10596.804612637463
2025-03-01,1,32347.830952878667,3422.8235443968265,35770.65449727549,16633.44609814259,14118.182690397733,30751.62878854032,16750.360512191062,13677.586191510223,9039.11424326132,90,1,497.8891227142867,22,18.767869999999846,10596.804612637463,10474.811083042505
2025-03-02,1,70779.97515948095,5559.117055945754,76339.0922154267,43667.25743332872,26996.93725033205,70664.19468366077,17837.382897451746,15244.477992696668,1387.8802440049653,108,1,551.2875934880932,29,2.964179226190481,10474.811083042505,9590.146809975
2025-03-03,1,72132.39834822822,5396.820290856425,77529.21863908465,44353.986916893045,25575.70407609231,69929.69099298536,19687.121958037802,15701.658136797068,1526.6081845105793,100,1,544.6239991309536,26,8.696579476190436,9590.146809975,9862.269753545615
2025-03-04,1,73130.94058360317,4030.721700584413,77161.66228418758,45087.6352477277,19045.95455259035,64133.589800318055,18261.93948905101,14473.265938213326,4173.530800016565,96,1,507.3068365238091,26,7.116356666666775,9862.269753545615,10216.608695676723
2025-03-05,1,73689.42306844446,3457.5718545562877,77146.99492300075,45502.57442048061,16444.366465959487,61946.9408864401,16574.500722435918,13470.630959759184,7912.653143657353,85,1,449.1025062976185,25,0.0,10216.608695676723,10166.291612803288
2025-03-06,1,73786.45354702427,3671.3839669071876,77457.83751393146,45615.512823927194,17594.78527321804,63210.298097145234,16076.84133795078,12927.181985352338,8367.524027999685,89,1,454.2510267619039,24,16.9040108214283,10166.291612803288,10271.913277678614
2025-03-07,1,32382.074731602115,3125.4095384026473,35507.48427000476,16671.293629275264,12412.36572139051,29083.659350665774,16129.05309789359,12693.98302513982,11150.12866391766,86,1,327.1643808095232,19,0.0,10271.913277678614,10683.635482294156
2025-03-08,1,31249.815495793344,3253.8609153323905,34503.676411125736,16140.390003829565,12181.422042803022,28321.812046632585,16798.524613741323,13653.67871819807,12295.690998915816,85,1,168.62651047618937,11,0.0,10683.635482294156,10631.553503330166
2025-03-09,1,71525.61496653446,3779.563012269053,75305.1779788035,44086.31512172261,17515.107831047117,61601.42295276973,15989.205186327514,13416.193046917395,9398.640789393396,83,1,294.61123766666617,13,15.901737333333472,10631.553503330166,10114.957007783381
2025-03-10,1,70785.37088632648,4359.972546317887,75145.34343264437,43485.30433788602,19849.027669609368,63334.33200749539,17228.84003890735,14022.193756601282,3896.6257003382902,89,1,535.0429558095249,18,35.51245499999993,10114.957007783381,10040.69775768746
2025-03-11,1,70400.67294773954,3921.2559348684995,74321.92888260804,43110.36106584436,17924.972074047117,61035.33313989148,16771.792175914838,13318.16267166962,6929.380578362826,94,1,532.1199526231601,23,27.60283266666613,10040.69775768746,10337.352191933458
2025-03-12,1,69585.22766560515,3752.5425757265252,73337.77024133167,42677.39763131039,16752.075341471875,59429.47297278227,16178.336491416096,13445.627160557142,8169.526227139398,85,1,395.1947620952374,17,1.870568047619031,10337.352191933458,9958.269300255566
2025-03-13,1,69123.57532083025,4897.467579,74021.04289983025,42399.337465695186,22831.316220214903,65230.65368591009,16945.785716630147,13731.659760223807,3261.298926757236,94,1,341.1392820476182,18,8.012690666666686,9958.269300255566,9952.076711640691
2025-03-14,1,31139.63297205289,3222.5729674761906,34362.20593952908,16006.717591576344,12096.90283136948,28103.620422945824,16844.38418409172,13093.144705919487,14581.540478023515,74,1,180.99897400000037,10,0.6864568571428435,9952.076711640691,10564.083915190477
2025-03-15,1,30273.101731991537,3387.753124047615,33660.85485603915,15620.352907449715,12668.19386209763,28288.546769547345,17149.921635614937,14152.158692627518,9738.96676305173,85,1,188.2308141428574,14,14.810458333333315,10564.083915190477,10274.392617657792
